"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","COUNTERPART_COUNTRY","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.AUS.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Australia","10944.9","13084.0","13104.1","14270.9","15771.0","17782.3","19206.8","22456.8","19604.4","21806.9","27626.547583","31161.878595","26123.00531","26582.849771","25038.665994","22224.910686","24519.399949","25332.490991","25875.482751","23386.437435","26462.131999","30551.617462","33678.530008","34593.429481"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.DZA.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Algeria","1047.1","984.5","487.4","972.1","1161.0","1101.8","1652.5","1243.2","1109.0","1194.2","1596.975135","1363.163393","1848.703921","2616.993205","1876.462218","2237.088054","1062.352093","1261.034413","1000.467959","734.860262","783.695602","1198.479094","1214.448016","1014.504109"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.FLK.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Falkland Islands (Malvinas)","0.4","0.4","1.0","0.4","9.1","1.5","1.0","0.8","2.4","2.8","3.957498","4.347073","1.241492","7.8456","2.917708","1.488582","0.482089","0.214959","0.317783","0.305611","0.33577","0.164093","0.472479","4.092467"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.CHL.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Chile","3130.9","2612.0","2719.3","3624.6","5197.7","6790.2","8310.8","12093.3","9365.4","10871.6","15993.031002","18773.140514","17517.727081","16514.555095","15587.075596","12940.927324","13632.843757","15312.582932","15717.725989","12461.947814","17321.760974","22256.935104","18724.481686","18167.793397"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.GNQ.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Equatorial Guinea, Republic of","80.3","108.7","336.4","215.3","249.1","551.6","236.4","184.4","306.0","271.8","285.39425","233.161535","756.139906","574.79479","158.536452","278.430156","111.93615","139.398852","213.870787","93.690028","51.451616","71.324304","99.223995","95.379691"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.TTO.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Trinidad and Tobago","1089.6","1018.0","1064.2","1207.1","1439.1","1614.8","1779.4","2251.2","1989.2","1925.5","2185.137885","2477.825749","2404.16493","2411.034229","2511.613824","2344.124985","1817.042699","2110.761476","2816.853836","2400.667481","2644.954727","3628.979326","2249.98479","2939.684738"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.ESP.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Spain","5810.9","5225.7","5935.3","6640.4","6933.8","7405.2","9879.4","12283.0","8750.8","10150.2","11031.58979","9551.906914","10244.231043","10200.26915","10248.894476","10373.149683","11070.994474","13064.29001","15342.513999","13060.436551","16836.691346","26695.18464","25001.170623","23910.286257"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.LKA.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Sri Lanka","183.2","171.9","154.6","163.8","197.5","236.7","227.0","283.3","229.5","178.0","303.547816","223.950414","311.911749","350.340359","372.123531","407.105982","336.249489","371.405009","389.998611","359.02178","390.361534","336.62718","366.221886","368.214575"
"IMF.STA:IMTS(1.0.0)","USA.MG_CIF_USD.BRN.A","OBS_VALUE","United States","Imports of goods, Cost insurance freight (CIF), US dollar","Brunei Darussalam","424.0","306.2","446.2","428.9","589.6","575.0","421.2","117.6","42.6","13.3","23.414888","86.29978","17.184938","31.806031","19.333916","13.765895","22.7896","98.009499","41.424459","82.922993","17.060499","90.404897","221.720403","238.849306"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.COL.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Colombia","3605.7","3588.7","3754.7","4504.2","5414.9","6708.2","8559.7","11438.8","9457.6","12044.0","14335.692038","16356.802727","18369.30151","20106.608178","16503.126072","13099.482624","13373.918464","15114.892087","14762.235267","11932.356829","16765.495745","20819.346585","17552.368192","19037.613407"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.DOM.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Dominican Republic","4435.6","4261.5","4213.6","4342.8","4708.4","5347.9","6090.9","6599.1","5269.8","6554.6","7325.686377","6967.401065","7155.574737","7922.143799","7134.174144","7785.81284","7851.737355","8942.559374","9207.99729","7500.643579","10738.331425","14022.851675","13062.574386","13081.661072"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.MHL.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Marshall Islands, Republic of the","","","","","","","","","","","","","","","","42.23","557.200995","289.616364","105.172444","119.76952","233.190757","266.554592","58.06373","127.426248"
"IMF.STA:IMTS(1.0.0)","USA.XG_FOB_USD.MWI.A","OBS_VALUE","United States","Exports of goods, Free on board (FOB), US dollar","Malawi","14.8","30.0","16.7","21.6","27.9","45.7","51.6","45.2","40.3","37.1","56.973282","63.951198","54.498745","50.669581","36.006014","42.150311","27.88084","17.240448","22.808686","13.173623","23.321463","36.472783","18.190495","26.940731"
